name,university,rank,url,cit,cit_2012,hid,hid_2012,citations,papers
Robert H. MacArthur (1930-1972),Princeton,1,https://scholar.google.com/citations?user=RUWSTHAAAAAJ&hl=en,55092,14545,43,27,57986,3
Dean Wichern,Texas A&M University,72,https://scholar.google.com/citations?user=0Lim3y0AAAAJ&hl=en,24375,8334,25,19,19904,3
Charles Van Loan,Cornell,15,https://scholar.google.com/citations?user=N7sfFpcAAAAJ&hl=en,77967,23356,47,32,61091,13
allan n schore,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=xlqzdp8AAAAJ&hl=en,4274,1588,1,1,4274,1
George EP Box,University of Wisconsin Madison,50,https://scholar.google.com/citations?user=qR6KIVQAAAAJ&hl=en,151700,43500,95,51,44351,11
Si Xie,Massachusetts Institute of Technology,6,https://scholar.google.com/citations?user=qRGakd8AAAAJ&hl=en,15699,14348,9,9,15012,4
Si Xie,California Institute of Technology,10,https://scholar.google.com/citations?user=qRGakd8AAAAJ&hl=en,15699,14348,9,9,15012,4
Andrew Whitbeck,Johns Hopkins University,12,https://scholar.google.com/citations?user=WV4UJYcAAAAJ&hl=en,19146,17861,12,10,18386,6
James Foley,Georgia Institute of Technology,35,https://scholar.google.com/citations?user=GmcChLIAAAAJ&hl=en,20071,2758,37,13,10555,4
Frank Knight,University of Chicago,3,https://scholar.google.com/citations?user=ei0Z4PoAAAAJ&hl=en,29077,10727,44,25,18396,7
Joel Stein,Columbia,5,https://scholar.google.com/citations?user=-U20tUEAAAAJ&hl=en,25418,22200,35,32,129077,59
Ian Bolliger,UC Berkeley,22,https://scholar.google.com/citations?user=E2EqU1kAAAAJ&hl=en,18731,18625,9,9,23712,11
Antonio Damasio,University of Southern California,24,https://scholar.google.com/citations?user=dIsPKr0AAAAJ&hl=en,125525,46236,99,74,6342,3
Susan Zvacek,University of Denver,88,https://scholar.google.com/citations?user=eAeY3XgAAAAJ&hl=en,2196,1051,7,4,2035,1
Bryan Howie,University of Chicago,3,https://scholar.google.com/citations?user=-wE1dtwAAAAJ&hl=en,22980,17682,11,11,5638,3
