averageratingscore_rf,pk_id,total_number_of_ratings_i,teacherfirstname_t',teacherlastname_t,department,university
4.7,1364631,71,Brian,Zack,Professor in the Languages department,Princeton
4.2,136441,30,Elizabeth,Bogan,Professor in the Economics department,Princeton
4.62,556516,24,Robert,George,Professor in the Political Science department,Princeton
3.0,243005,18,Paul,Krugman,Professor in the Economics department,Princeton
4.1,226584,15,Cornel,West,Professor in the Ethnic Studies department,Princeton
4.0,2055462,15,Andrew,Wassef,Professor in the Biology department,Princeton
4.32,33701,14,Ron,Comer,Professor in the Psychology department,Princeton
3.29,273320,14,Peter,Singer,Professor in the Philosophy department,Princeton
3.81,213526,13,Larry,Danson,Professor in the English department,Princeton
3.12,19271,12,Bart,Hoebel,Professor in the Psychology department,Princeton
4.08,105956,12,Tamsen,Wolff,Professor in the English department,Princeton
3.71,136447,12,Maitland,Jones,Professor in the Chemistry department,Princeton
1.71,1169784,12,Ivy,Forbes,Professor in the Mathematics department,Princeton
4.23,268319,11,Gideon,Rosen,Professor in the Philosophy department,Princeton
4.7,336888,11,Al,Acres,Professor in the Art History department,Princeton
3.59,1258345,11,Jeffrey,Nunokawa,Professor in the English department,Princeton
4.09,1394628,11,Mihaela Carla,Caponegro,Professor in the Languages department,Princeton
2.4,571956,11,Patricia,Fernandez-Kelly,Professor in the Sociology department,Princeton
4.3,2014097,11,Indiana,Jones,Professor in the Anthropology department,Princeton
5.0,7886,10,Joshua,Katz,Professor in the Classics department,Princeton
3.05,136442,10,James,Gould,Professor in the Science department,Princeton
4.7,422768,10,Pablo,Debenedetti,Professor in the Engineering department,Princeton
3.5,136445,10,Martin,Semmelhack,Professor in the Science department,Princeton
4.89,223454,9,Lyman,Page,Professor in the Physics department,Princeton
4.56,791066,9,William,Bialek,Professor in the Physics department,Princeton
4.94,1872573,9,Simon,Cullen,Professor in the Philosophy department,Princeton
4.5,311532,8,Gary,Bass,Professor in the Political Science department,Princeton
4.44,579664,8,Tom,Kelly,Professor in the Philosophy department,Princeton
3.81,651848,8,Uwe,Reinhardt,Professor in the Economics department,Princeton
3.9,416089,7,Ed,Zschau,Professor in the Engineering department,Princeton
3.14,543287,7,Sophie,Gee,Professor in the English department,Princeton
3.83,136928,6,Jeffrey,Schwartz,Professor in the Science department,Princeton
4.58,153309,6,Ramin,Takloo-Bighash,Professor in the Mathematics department,Princeton
4.67,199384,6,William,Jordan,Professor in the History department,Princeton
4.08,240866,6,Maurizio,Viroli,Professor in the Political Science department,Princeton
3.08,327711,6,John,Conway,Professor in the Mathematics department,Princeton
4.33,445168,6,Kiki,Jamison,Professor in the Political Science department,Princeton
4.83,551100,6,Benjamin,Widiss,Professor in the English department,Princeton
4.92,700440,6,Eric,Gregory,Professor in the Religion department,Princeton
5.0,798762,6,Paul,Prucnal,Professor in the Engineering department,Princeton
1.17,649834,6,Henry,Farber,Professor in the Economics department,Princeton
2.8,13058,5,Morton,Kostin,Professor in the Engineering department,Princeton
4.5,33700,5,Robert,Bagley,Professor in the Art History department,Princeton
3.5,33702,5,Hal,Foster,Professor in the Not Specified department,Princeton
5.0,138362,5,Jamie,Rankin,Professor in the Languages department,Princeton
4.9,174973,5,Molly,Greene,Professor in the History department,Princeton
3.5,199441,5,Robert,Kaster,Professor in the Classics department,Princeton
4.5,199572,5,Alexander,Nehamas,Professor in the Philosophy department,Princeton
2.6,223944,5,Susan,Wolfson,Professor in the English department,Princeton
3.8,228573,5,Eve,Ascheim,Professor in the Fine Arts department,Princeton
4.3,232134,5,Andrew,Wiles,Professor in the Mathematics department,Princeton
4.7,240870,5,Theodore K.,Rabb,Professor in the History department,Princeton
4.0,375313,5,Joyce Carol,Oates,Professor in the English department,Princeton
3.4,543288,5,John V.,Fleming,Professor in the English department,Princeton
5.0,650499,5,Smita,Brunnermeier,Professor in the Economics department,Princeton
1.2,768666,5,Natasha,Lee,Professor in the Literature department,Princeton
4.4,813673,5,Lee,Mitchell,Professor in the English department,Princeton
5.0,840975,5,Simone,Marchesi,Professor in the Literature department,Princeton
4.8,855947,5,Muhammad Qasim,Zaman,Professor in the Religion department,Princeton
3.4,953651,5,Edgar,Choueiri,Professor in the Engineering department,Princeton
3.3,1462638,5,Russell,Nieli,Professor in the Political Science department,Princeton
3.9,1793488,5,Cagan,Yalama,Professor in the Engineering department,Princeton
4.9,13057,4,Jennifer,Johnson,Professor in the Mathematics department,Princeton
2.75,131161,4,Mark,Fischle,Professor in the Political Science department,Princeton
4.5,240868,4,Francois,Rigolot,Professor in the Languages department,Princeton
4.5,246623,4,David,August,Professor in the Computer Science department,Princeton
4.0,383822,4,D. Vance,Smith,Professor in the English department,Princeton
4.25,428040,4,Hans,Halvorson,Professor in the Philosophy department,Princeton
4.5,473645,4,Traci,Schlesinger,Professor in the Sociology department,Princeton
3.88,482271,4,Michal,Cadden,Professor in the Theater department,Princeton
4.88,507556,4,Miguel,Centeno,Professor in the Sociology department,Princeton
5.0,543285,4,Jeff,Dolven,Professor in the English department,Princeton
4.0,543289,4,Uli,Knoepflemacher,Professor in the English department,Princeton
4.25,547436,4,Toni,Morrison,Professor in the English department,Princeton
2.5,568904,4,Sanjeev,Arora,Professor in the Computer Science department,Princeton
3.75,572927,4,Seiichi,Makino,Professor in the Languages department,Princeton
